"purchase_order_description","purchase_order_contract_number","revision_number","specification_number","contract_type","start_date","end_date","approval_date","department","vendor_name","vendor_id","address_1","address_2","city","state","zip","award_amount","procurement_type","contract_pdf"
"DFSS-IDHS-CS-CCO:","264636","2","1278053","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","EL HOGAR DEL NINO INC|CLEANED-UP","38673803M","2325 S CALIFORNIA AVE",,"CHICAGO","IL","60608","-16238",,
"CDPH-BEHAV HLTH: PO 207272 The Board of Trustees of the University of Illinois","265913","0","1243477","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","132774",,
"CDPH-RW-PA: PCHH-HRSA PO 116683 THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS","266049","0","1042731","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","732240",,
"CDPH-MNTL-HLTH: PO 202221 Advocate Illinois Masonic Medical Center - CARE Team Medical Director","266055","0","1028072","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","85242515E","2025 WINDSOR DR","2025 WINDSOR DR","OAK BROOK","IL","60523","150000",,
"849417: Vehicle Immobilization Device Solution","261584","0","849417","COMMODITIES","2024-04-12T00:00:00.000","2030-04-11T00:00:00.000","2024-04-11T00:00:00.000","DEPARTMENT OF FINANCE","UNIVERSAL BOOT INC","10620398","11450 COTE DE LIESSE",,"DORVAL",,"H9P 1A9","7423000","RFP",
"CDPH-HIV-HSING: HOPWA SPNS PO 102897 AIDS FOUNDATION OF CHICAGO","266041","0","1176935","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS FOUNDATION OF CHICAGO|CLEANED-UP","92395803E","200 W JACKSON BLVD # 2200",,"CHICAGO","IL","60606","480965",,
"CDPH-BEHAV HLTH:po199664 The Board of trustees of the university of illinois","266050","0","1243392","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","350207",,
"BACP-CORP-NBDC:","218002","1","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-11T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","NORTHWEST SIDE CDC","105478915L","5233 W DIVERSEY AVE",,"CHICAGO","IL","60639","20000","RFP",
"CDPH-RW-PA: Healthcare Access - Medical Case Management PO 94395 AIDS FOUNDATION OF CHICAGO","266037","0","863869","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS FOUNDATION OF CHICAGO|CLEANED-UP","92395803E","200 W JACKSON BLVD # 2200",,"CHICAGO","IL","60606","4557900",,
"BACP-CORP-NBDC:","218030","1","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-11T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","NORTHWEST SIDE CDC","105478915L","5233 W DIVERSEY AVE",,"CHICAGO","IL","60639","40000","RFP",
"CDPH-HIV-HSING: HUB-HUD PO 116595 AIDS FOUNDATION OF CHICAGO","266046","0","1187478","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS FOUNDATION OF CHICAGO|CLEANED-UP","92395803E","200 W JACKSON BLVD # 2200",,"CHICAGO","IL","60606","1000000",,
"CDPH-HIV-HSING: PO 92319 AIDS HEALTHCARE FOUNDATION","266052","0","807174","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS HEALTHCARE FOUNDATION","95620399H","6255 W SUNSET BLVD",,"LOS ANGELES","CA","90028","89756",,
"TEMPORARY STAFFING SERVICES REFERENCING CHICAGO PUBLIC SCHOOLS MASTER SERVICE AGREEMENT- BOARD REPORT 17-0726-PR6","199841","1","1240884","PRO SERV CONSULTING $250,000orABOVE","2022-09-20T00:00:00.000","2026-07-26T00:00:00.000","2024-04-11T00:00:00.000","DEPARTMENT OF HUMAN RESOURCES","VIVA USA, INC","50762736P","3601 ALGONQUIN ROAD EFT","STE 425","ROLLING MEADOWS","IL","60008","3000000","REFERENCE CONTRACT",
"1269533A: Various Work and Business Uniforms (Target Market)","263412","0","1269533A","COMMODITIES","2024-04-09T00:00:00.000","2028-04-10T00:00:00.000","2024-04-11T00:00:00.000","OFFICE OF PUBLIC SAFETY ADMINISTRATION","SILK SCREEN EXPRESS, INC.","72943020L","7611 W 185TH STREET EFT",,"TINLEY PARK","IL","60477","7647888.6","BID",
"CDPH-HIV-HSING: HUB-CORP PO 109597 AIDS FOUNDATION OF CHICAGO","266054","0","1187478","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS FOUNDATION OF CHICAGO|CLEANED-UP","92395803E","200 W JACKSON BLVD # 2200",,"CHICAGO","IL","60606","250000",,
"CDPH-RW-PA: PCHH-HRSA PO 116627 ERIE FAMILY HEALTH CENTER","266048","0","1042731","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","ERIE FAMILY HEALTH CENTER|CLEANED-UP","93336098P","1701 W SUPERIOR ST 3 TH FL  EFT",,"CHICAGO","IL","60622-5646","310766",,
"CDPH-VIOLNCE PREV: PO 217363 Health and Medicine Policy Research Group","266051","0","1265780","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","HEALTH & MEDICINE POLICY","31330682X","29 E MADISON ST STE 602","STE 500","CHICAGO","IL","60604-4302","150000",,
"CDPH-RW-PA: PCHH-HRSA PO 116668 THE HEKTOEN INSTITUTE FOR MEDICAL RESEARCH L.L.C.","266034","0","1042731","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.","102636875V","1339 S WOOD ST",,"CHICAGO","IL","60608-1204","4794668",,
"CDPH-RW-PA: Healthcare Access -  Professional Services PO 94402 PRAIRIE STATE LEGAL SERVICES","266042","0","863869-1","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","PRAIRIE STATE LEGAL SERVICES","91268533H","303 N MAIN STREET EFT",,"ROCKFORD","IL","61101-1049","172000",,
"CDPH-RW-PA: PCHH-HRSA PO 110215 LAKE COUNTY HEALTH DEPT","266045","0","1042731","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","LAKE COUNTY HEALTH DEPARTMENT","31331941Z","3010 GRAND AVE",,"WAUKEGAN","IL","60085-2321","219000",,
"P-2017-10 Sewer Improvements Various Locations","58582","20","306257","CONSTRUCTION-GENERAL",,,"2024-04-11T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","PAN-OCEANIC ENGINEERING CO INC","95584874P","6436 W HIGGINS AVENUE EFT",,"CHICAGO","IL","60656","-780","BID",
"CDPH-RW-PA: PCHH-HRSA PO 116619 ACCESS COMMUNITY HEALTH NETWORK","266044","0","1042731","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","ACCESS COMMUNITY HEALTH NETWORK|CLEANED-UP","94287252P","222 N CANAL ST",,"CHICAGO","IL","60606","443952",,
"CDPH-BEHAV HLTH: PO 207272 The Board of Trustees of the University of Illinois","253572","1","1243477","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","-2903.1",,
"CDPH-RW-PA: HIV Primary Care PO 110229 AIDS HEALTHCARE FOUNDATION","266035","0","1095537","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS HEALTHCARE FOUNDATION","95620399H","6255 W SUNSET BLVD",,"LOS ANGELES","CA","90028","178572",,
"CDPH-RW-PA: PCHH-HRSA PO 116676 MICHAEL REESE RESEARCH & EDUCATION FOUNDATION","266047","0","1042731","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","MICHAEL REESE RESEARCH & EDUCATION FOUNDATION","102534889V","2929 S ELLIS AVE",,"CHICAGO","IL","60616","621532",,
"CDPH-RW-PA: HIV Primary Care PO 110227 LOYOLA UNIVERSITY HEALTH","266043","0","1095537","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","LOYOLA UNIVERSITY HEALTH","1067264","SCIENCES LIBRARY","2160 SOUTH 1ST AVE","MAYWOOD","IL","60153","127054",,
"CDPH-RW-PA: Healthcare Access -  Professional Services PO 94401 Legal Aid Chicago","266032","0","863869-1","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","LAF","94132915P","METROPOLITAN OF CHICAGO","111 W JACKSON BLVD FL 3RD","CHICAGO","IL","60604-3502","284000",,
"CDPH-RW-PA: HIV Primary Care PO 110228 SOUTH SHORE HOSPITAL","266039","0","1095537","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","SOUTH SHORE HOSPITAL.CORP","3628710H","8012 S CRANDON AVENUE EFT",,"CHICAGO","IL","60617-1175","146792",,
"Arterial Streets Resurfacing Project 84 - Central Area","110194","38","836017","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-04-11T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV","42441106P","935 W CHESTNUT ST STE 20",,"CHICAGO","IL","60622-5445","175000","BID",
"CDPH-RW-PA: Healthcare Access - Emergency Assistance PO 94385 AIDS FOUNDATION OF CHICAGO","266038","0","863869-3","DELEGATE AGENCY",,,"2024-04-11T00:00:00.000","DEPARTMENT OF HEALTH","AIDS FOUNDATION OF CHICAGO|CLEANED-UP","92395803E","200 W JACKSON BLVD # 2200",,"CHICAGO","IL","60606","850000",,
"Spec 1043880A: Replacement of Rotunda Air Handling Units (MBI-1)","162839","20","1043880A","CONSTRUCTION-AVIATION",,,"2024-04-10T00:00:00.000","DEPT OF AVIATION","ACCEL CONSTRUCTION SERVICES GROUP, LLC","105473959P","2211 N ELSTON AVE",,"CHICAGO","IL","60614","125148","BID",
"793280; Replace Passenger & Freight Elevators at Heating & Refrigeration Plant","170898","9","793280","CONSTRUCTION-AVIATION",,,"2024-04-10T00:00:00.000","DEPT OF AVIATION","ACCEL CONSTRUCTION SERVICES GROUP, LLC","105473959P","2211 N ELSTON AVE",,"CHICAGO","IL","60614","23188",,
"DESIGN CONSULTING SERVICES","37885","5","131155","ARCH/ENGINEERING","2016-07-14T00:00:00.000","2024-12-29T00:00:00.000","2024-04-10T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","AECOM TECHNICAL SERVICES, INC.","94920393E","1178 PAYSPHERE CIR",,"CHICAGO","IL","60674","0","MASTER AGREEMENT",
"DFSS-IDHS-HL-INTHS:","265878","0","1235949","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","COVENANT HOUSE ILLINOIS INC","105478484E","30 W CHICAGO AVE",,"CHICAGO","IL","60654","29200",,
"DFSS-ARP-YS-MCMF:","236217","1","1261336","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION","92086166P","1159 W 79TH STREET EFT ST",,"CHICAGO","IL","60620","-113462.2",,
"DFSS-CDBG-WS-TJP:","265838","0","1221530","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LE PENSEUR YOUTH & FAMILY SERVICES, INC.","25954405L","8550 S MANISTEE AVE",,"CHICAGO","IL","60617-3152","90000",,
"MASTER TASK ORDER CONTRACT FOR CONSULTING SERVICES AGREEMENT FOR SURFACE TRANSPORTATION PLANNING STUDIES CATEGORIES 1-5 - CATEGORIES AWARDED: 1,2,3, AND 4","38950","6","129543","ARCH/ENGINEERING","2017-04-10T00:00:00.000","2026-04-10T00:00:00.000","2024-04-10T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","JACOBS ENGINEERING GROUP INC","96606311H","800 MARKET ST",,"SAINT LOUIS","MO","63150-8713","0","MASTER AGREEMENT",
"DFSS-CORP-HL-PSH:","265866","0","1221503","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO","102484615A","1 E BANKS ST",,"CHICAGO","IL","60670","112500",,
"DFSS-ARP-YS-MCMF:","236215","2","1261336","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BEYOND THE BALL NFP","102566745E","3000 S LAWNDALE AVE",,"CHICAGO","IL","60623","-5627.1",,
"DFSS-ARP-YS-MCMF:","235531","1","1261336","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PUERTO RICAN CULTURAL CENTER","93977356X","2739 W DIVISION STREET EFT",,"CHICAGO","IL","60622","-161442.9",,
"DFSS-HHS-CS-SS:","265860","0","1266244","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ERIKSON INSTITUTE","77037025T","451 N LASALLE STREET EFT",,"CHICAGO","IL","60654","352310",,
"DFSS-ARP-YS-CJI:","265818","0","1263482","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","WESTSIDE HEALTH AUTHORITY","22686520T","ATTN: BUSINESS OFFICE/J. REED","5417 W DIVISION STREET EFT","CHICAGO","IL","60651","80000",,
"DFSS-ARP-YS-MCMF:","239129","1","1261336","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","GARY COMER YOUTH CENTER, INC.","94781128E","7200 S INGLESIDE AVE",,"CHICAGO","IL","60619","-191981",,
"DFSS-ARP-YS-CJI:","265835","0","1263482","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PHALANX FAMILY SERVICES","85554962P","4628 W WASHINGTON BLVD",,"CHICAGO","IL","60644","510000",,
"DFSS-CORP-HL-ESH:","265872","0","1235949","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","COVENANT HOUSE ILLINOIS INC","105478484E","30 W CHICAGO AVE",,"CHICAGO","IL","60654","109645",,
"DFSS-CORP-HL-PSH:","265867","0","1221503","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BREAKTHROUGH URBAN MINISTRIES, INC.","94722896V","402 N ST LOUIS AVENUE EFT",,"CHICAGO","IL","60624","18332",,
"REFERENCE CONTRACT FOR HVAC PRODUCTS, INSTALLATION, SERVICES AND RELATED PRODUCTS AND SERVICES - TRANE US INC.","134953","2","1198987","WORK SERVICES / FACILITIES MAINT.","2021-04-20T00:00:00.000","2026-04-19T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","TRANE U.S. INC","98259235L","PO BOX 98167",,"CHICAGO","IL","60693","0","REFERENCE CONTRACT",
"DFSS-HHS-CS-SS: Early Head Start Expansion Support Services","265864","0","1266305","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","VERA CREATIVE, INC.","105467483V","1400 N HALSTED ST",,"CHICAGO","IL","60642","40590",,
"DFSS-ARP-YS-YIP:","265823","0","1259434","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","YOUTH OUTREACH SERVICES, INC.","43903980X","Accounts Payable","2411 W CONGRESS PKWY","CHICAGO","IL","60612","250000",,
"DFSS-HHS-CS-CEL: Early Head Start Expansion","265861","0","1266250","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CLARIDIGM INC","105454678P","332 S MICHIGAN AVE",,"CHICAGO","IL","60604-4434","39570",,
"DFSS-IDHS-HL-ESH:","265870","0","1234607","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","Equitable Social Solutions, LLC","10586808","9200 Shelbyville Road, Suite 210",,"Louisville","KY","40222","3488520",,
"BACP-CORP-NBDC:","217980","1","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","OLD TOWN MERCHANTS & RESIDENTS","90471475L","1520 N WELLS ST",,"CHICAGO","IL","60610","40000","RFP",
"DFSS-ARP-YS-CYSC:","216881","3","1235861","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ASIAN HUMAN SERVICES, INC.","38544823A","2838 W PETERSON AVE FL 1ST",,"CHICAGO","IL","60659","-41646.3",,
"DFSS-CORP-HL-SOES:","265877","0","1236107","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","COVENANT HOUSE ILLINOIS INC","105478484E","30 W CHICAGO AVE",,"CHICAGO","IL","60654","100000",,
"DFSS-ARP-YS-YIP:","265822","0","1259434","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","YOUTH OUTREACH SERVICES, INC.","43903980X","Accounts Payable","2411 W CONGRESS PKWY","CHICAGO","IL","60612","250000",,
"CDPH-HIV-HSING PO 92314 THE CHILDREN'S PLACE ASSOCIATION","92314","4","807174","DELEGATE AGENCY","2019-03-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-10T00:00:00.000","DEPARTMENT OF HEALTH","CHILDREN'S PLACE ASSOCIATION","95235374L","700 N SACRAMENTO BOULEVARD EFT",,"CHICAGO","IL","60612","175000","RFP",
"DFSS-HHS-CS-SS:","265863","0","1266250","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CLARIDIGM INC","105454678P","332 S MICHIGAN AVE",,"CHICAGO","IL","60604-4434","245034",,
"DFSS-CDBG-WS-TJP:","265840","0","1221530","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","YWCA METROPOLITAN CHICAGO","10054278H","180 N WABASH AVE STE 300",,"CHICAGO","IL","60601","90000",,
"PURCHASE OF NEW AND REPLACEMENT ELECTRIC MOTORS, PUMPS AND AIR COMPRESSORS AND REPAIR SERVICE FOR ELECTRIC MOTORS, PUMPS AND AIR COMPRESSORS","66942","9","135917","WORK SERV-AVIATION","2018-01-16T00:00:00.000","2024-07-15T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF AVIATION","PALM ELECTRIC COMPANY","15222615H","2918 W GRAND AVENUE EFT",,"CHICAGO","IL","60622","1822881.1","BID",
"DFSS-CORP-HL-PBTH:","265876","0","1236413","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","IGNITE ORG.","105461064X","3179 N BROADWAY",,"CHICAGO","IL","60657","40270",,
"MOPD-CDBG-HOMEMOD","265678","0","1221608","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","OFFICE FOR PEOPLE WITH DISABILITIES","EXTENDED HOME LIVING SERVICES|CLEANED-UP","93875753V","210 W CAMPUS DRIVE EFT",,"ARLINGTON HEIGHTS","IL","60004","1947000",,
"DFSS-ARP-YS-YIP:","265820","0","1259434","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP","90455112P","11 E ADAMS STREET EFT",,"CHICAGO","IL","60603","250000",,
"DFSS-ARP-YS-CJI:","265824","0","1263482","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FIRST DEFENSE LEGAL AID CIVIL RIGHTS PROGRAM TRUST","102587181L","5100 W HARRISON ST",,"CHICAGO","IL","60644","80000",,
"MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT: PROJECT GROUP 5","32263","4","114941","ARCH/ENGINEERING","2015-09-01T00:00:00.000","2025-03-02T00:00:00.000","2024-04-10T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","LAKOTA GROUP, INC","31320186M","70 W ERIE ST FL 4TH",,"CHICAGO","IL","60610","0","MASTER AGREEMENT",
"FLAGPOLE REROPING AND REPAIR SERVICES","30544","6","92467B","WORK SERVICES / FACILITIES MAINT.","2014-09-15T00:00:00.000","2025-03-14T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","WGN FLAG & DECORATING CO 01","85240946H","7984 S SOUTH CHICAGO AVE",,"CHICAGO","IL","60617","0","BID",
"DFSS-ARP-YS-CJI:","265825","0","1263482","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CHICAGO URBAN LEAGUE DEV CORP","31311292X","4510 S MICHIGAN AVENUE EFT",,"CHICAGO","IL","60653-3898","80000",,
"DFSS-CORP-CS-SS:","173319","3","1234549","DELEGATE AGENCY","2021-12-01T00:00:00.000","2024-04-30T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CHAPIN HALL CENTER FOR CHILDREN","93971428P","6054 S DREXEL AVE",,"CHICAGO","IL","60637","414000",,
"DFSS-HHS-CS-SS:","265862","0","1266250","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CLARIDIGM INC","105454678P","332 S MICHIGAN AVE",,"CHICAGO","IL","60604-4434","363578",,
"DFSS-CORP-HL-SOES:","265873","0","1236107","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","IGNITE ORG.","105461064X","3179 N BROADWAY",,"CHICAGO","IL","60657","76666",,
"DFSS-HHS-CS-SS:","265865","0","1266244","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ERIKSON INSTITUTE","77037025T","451 N LASALLE STREET EFT",,"CHICAGO","IL","60654","309170",,
"DFSS-ARP-YS-MCMF:","236219","1","1261336","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PHALANX FAMILY SERVICES","85554962P","4628 W WASHINGTON BLVD",,"CHICAGO","IL","60644","-66389.2",,
"DFSS-CORP-HL-PBTH:","265875","0","1236413","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","IGNITE ORG.","105461064X","3179 N BROADWAY",,"CHICAGO","IL","60657","115730",,
"EMERGENCY MASS NOTIFICATION/ALERT SYSTEM FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS AND STREETS AND SANITATION (SPEC #130469)","33068","7","130469","PRO SERV-AVIATION","2015-10-02T00:00:00.000","2025-04-01T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF AVIATION","EVERBRIDGE, INC.","105462958E","PO BOX 740745",,"LOS ANGELES","CA","90074","81875.5","RFP",
"BACP-CORP-NBDC:","265796","0","1258323","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","BETHEL NEW LIFE FOUNDATION DBA WEST SIDE FORWARD 01","105470043H","1140 N LAMON AVE",,"CHICAGO","IL","60651-3103","55000",,
"DFSS-ESG-HL-ESH:","265868","0","1235949","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","INSTITUTE FOR WOMEN TODAY","3683975V","MARIA SHELTER","7315 S YALE AVE","CHICAGO","IL","60621","257066",,
"Replacement of Chillers 1-5 and Upgrade of South Cooling Tower - ORD, Spec. 126044","32835","9","126044","CONSTRUCTION-AVIATION","2015-07-27T00:00:00.000","2027-10-27T00:00:00.000","2024-04-10T00:00:00.000","DEPT OF AVIATION","HILL MECHANICAL CORP","96825888X","11045 GAGE AVE",,"FRANKLIN PARK","IL","60131","57753.4","BID",
"DFSS-CORP-HL-ESH:","265871","0","1235949","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY RESCUE","102667254E","8811 S STONY ISLAND AVE",,"CHICAGO","IL","60617","155000",,
"DFSS-CDBG-WS-ISTPP:","265836","0","1237847","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ETHIOPIAN COMMUNITY ASSOCIATION OF CHICAGO, INC.","102652682X","5800 N LINCOLN AVENUE EFT",,"CHICAGO","IL","60659","70000",,
"DFSS-CORP-HL-ESH:","265874","0","1263475","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FAMILY RESCUE","102667254E","8811 S STONY ISLAND AVE",,"CHICAGO","IL","60617","26280",,
"DFSS-ARP-YS-SCAN:","265841","0","1292670","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH","102489050V","ST. PIUS V PARISH/HOPE","1919 S ASHLAND AVE","CHICAGO","IL","60608","333000",,
,"265795","0","1289656","DELEGATE AGENCY",,,"2024-04-10T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","RESURRECTION PROJECT","103368522L","1805 S ASHLAND AVENUE EFT",,"CHICAGO","IL","60608","290000",,
"CDPH-RW-PA: PCHH-CDC PO 110223 THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS","218633","3","1042731","DELEGATE AGENCY",,,"2024-04-09T00:00:00.000","DEPARTMENT OF HEALTH","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","-17441.2",,
"SPEC# 1283191: AIS 2023 Job Order Contract for General Construction - Zone 3 Southwest - South of Roosevelt Rd. to 138th St., West of Halsted St.","263111","0","1283191","JOC","2024-04-09T00:00:00.000","2027-04-08T00:00:00.000","2024-04-09T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","PAUL BORG CONSTRUCTION COMPANY INC","14813016P","2007 S MARSHALL BOULEVARD EFT",,"CHICAGO","IL","60623","225000000","BID",
